(36|33)
(35|33)
(35|34)
(35|33)
(35|32)
(34|32)
(34|33)
(33|33)
(34|32)
(34|31)
(35|31)
(35|30)
(36|30)
(36|29)
(37|29)
(38|29)
(38|28)
(37|28)
(37|27)
(38|27)
(39|27)
(39|28)
(40|28)
(41|28)
(41|27)
(42|27)
(42|26)
(41|26)
(41|25)
(41|24)
(42|24)
(43|24)
(43|25)
(42|25)
(43|25)
(43|26)
(43|27)
(43|28)
(44|28)
(45|28)
(45|27)
(45|26)
(45|25)
(44|25)
(44|26)
(44|27)
(44|25)
(44|24)
(45|24)
(45|23)
(46|23)
(47|23)
(47|24)
(47|25)
(48|25)
(49|25)
(49|26)
(48|26)
(48|27)
(48|28)
(47|28)
(47|29)
(46|29)
(45|29)
(45|30)
(45|31)
(44|31)
(44|30)
(44|29)
(45|31)
(45|32)
(45|33)
(45|34)
(45|35)
(44|35)
(44|36)
(45|36)
(45|37)
(46|37)
(46|36)
(46|35)
(47|35)
(47|34)
(48|34)
(49|34)
(49|35)
(49|36)
(49|37)
(48|37)
(48|38)
(49|38)
(49|39)
(49|40)
(49|41)
(48|41)
(48|40)
(48|39)
(47|39)
(46|39)
(46|40)
(47|40)
(47|41)
(46|41)
(45|41)
(45|42)
(44|42)
(44|41)
(43|41)
(42|41)
(41|41)
(41|42)
(40|42)
(40|43)
(40|44)
(40|45)
(39|45)
(39|44)
(38|44)
(37|44)
(37|43)
(36|43)
(35|43)
(35|44)
(35|45)
(36|45)
(36|46)
(37|46)
(37|47)
(38|47)
(38|46)
(39|46)
(39|47)
(39|48)
(40|48)
(41|48)
(42|48)
(42|47)
(43|47)
(44|47)
(44|46)
(45|46)
(45|45)
(45|44)
(44|44)
(44|45)
(43|45)
(42|45)
(42|46)
(43|46)
(42|46)
(41|46)
(41|47)
(40|47)
(40|46)
(41|46)
(41|45)
(41|44)
(41|43)
(42|43)
(43|43)
(44|43)
(45|43)
(46|43)
(46|44)
(46|45)
(46|46)
(46|47)
(46|48)
(45|48)
(44|48)
(44|49)
(45|49)
(46|49)
(47|49)
(48|49)
Congratulations, you have successfully found your way through the Elastic Path blackout maze. Based on your problem solving skills, we would love to talk to you about our software development opportunities in our Vancouver, BC and Reading, United Kingdom offices. Don't be shy, let's chat! Start by applying via the unique link below and include the following phrase:

Phrase: "In the blackest night, no hidden path shall escape my sight!"

Link: http://tbe.taleo.net/NA1/ats/careers/requisition.jsp?org=EKKON&cws=38&rid=352
